INVESTMENT,Ticker,ASSET CLASS,1 YR,5 YEAR,10 YR / INCEP,GROSS EXP %
American Century Mid Cap Value R6,AMDVX,Mid Cap Funds,-17.23%,1.89%,8.21%,0.63%
Fidelity Mid Cap Index,FSMDX,Mid Cap Funds,-18.29%,1.86%,9.21%,0.03%
Fidelity Real Estate Index Institutional,FSRNX,Specialty,-24.02%,-1.49%,5.41%,0.07%
Fidelity Small Cap Index,FSSNX,Small Cap Funds,-23.87%,-0.07%,7.75%,0.03%
Fidelity 500 Index,FXAIX,Large Cap Funds,-6.99%,6.72%,10.51%,0.02%
Fidelity US Bond Index,FXNAX,Bond,9.23%,3.39%,3.87%,0.03%
Victory Trivalent International Sm Cp R6,MSSIX,International Funds,-18.16%,0.17%,6.49%,1.10%
Great-West T. Rowe Price Mid Cap Gr Inst,MXYKX,Mid Cap Funds,-12.79%,5.76%,11.07%,0.67%
PIMCO Income Instl,PIMIX,Bond,-3.16%,3.59%,7.34%,1.05%
AB Small Cap Growth I,QUAIX,Small Cap Funds,-9.69%,8.06%,12.91%,0.91%
American Funds EuroPacific Growth Fund,RERGX,Foreign Large Cap Funds,-14.74%,0.91%,3.97%,1.00%
T. Rowe Price Blue Chip Growth I,TBCIX,Large Cap Funds,-2.70%,10.86%,13.93%,0.57%
Undiscovered Mgrs Behavioral Value R6,UBVFX,Small Cap Funds,-35.97%,-3.26%,6.21%,0.86%
Vanguard Equity-Income Adm,VEIRX,Large Cap Funds,-13.20%,4.55%,9.61%,0.18%
Vanguard FTSE Social Index Admiral,VFTAX,Large Cap Funds,-5.77%,7.14%,11.03%,0.14%
Vanguard Total Intl Stock Index Instl,VTSNX,International Funds,-16.55%,-0.65%,2.09%,0.08%
Western Asset Core Bond Portfolio I,WATFX ,Bond,5.95%,3.52%,4.67%,0.53%
Key Guaranteed Portfolio Fund,,Fixed,N/A,N/A,N/A,N/A
